Year,Total_Number_HighSchool_Completeres,Total_Number_HighSchool_Completeres_SE,Total_Number_Males_HighSchool_Completeres,Total_Number_Males_HighSchool_Completeres_SE,Total_Number_Females_HighSchool_Completeres,Total_Number_Females_HighSchool_Completeres_SE,Total_Percent_Recent_HighSchool_Completers_Enrolled_in_College,Total_Percent_Recent_HighSchool_Completers_Enrolled_in_College_SE,Two_Year_College,Two_Year_College_SE,Four_Year_College_or_University,Four_Year_College_or_University_SE,Total_Males,Total_Males_SE,Total_Males_Two_Year,Total_Males_Two_Year_SE,Total_Males_Four_Year,Total_Males_Four_Year_SE,Total_Females,Total_Females_SE,Total_Females_Two_Year,Total_Females_Two_Year_SE,Total_Females_Four_Year,Total_Females_Four_Year_SE
1990,2362,-43,1173,-30.6,1189,-30.2,60.1,-1.6,20.1,-1.31,40,-1.61,58,-2.29,19.6,-1.85,38.4,-2.26,62.2,-2.24,20.6,-1.87,41.6,-2.28
1991,2276,-41.1,1140,-29,1136,-29,62.5,-1.62,24.9,-1.44,37.7,-1.62,57.9,-2.33,22.9,-1.98,35,-2.25,67.1,-2.22,26.8,-2.09,40.3,-2.32
1992,2397,-40.5,1216,-29.1,1180,-28.1,61.9,-1.58,23,-1.37,38.9,-1.59,60,-2.24,22.1,-1.89,37.8,-2.21,63.8,-2.23,23.9,-1.98,40,-2.27
1993,2342,-41.4,1120,-30.6,1223,-27.7,62.6,-1.59,22.8,-1.38,39.8,-1.61,59.9,-2.33,22.9,-2,37,-2.3,65.2,-2.17,22.8,-1.91,42.4,-2.25
1994,2517,-41.1,1244,-30.1,1273,-27.9,61.9,-1.54,21,-1.29,40.9,-1.56,60.6,-2.21,23,-1.9,37.5,-2.19,63.2,-2.15,19.1,-1.75,44.1,-2.22
1995,2599,-41,1238,-30,1361,-27.7,61.9,-1.41,21.5,-1.19,40.4,-1.43,62.6,-2.04,25.3,-1.83,37.4,-2.04,61.3,-1.96,18.1,-1.55,43.2,-1.99
1996,2660,-40.5,1297,-29.5,1363,-27.7,65,-1.42,23.1,-1.26,41.9,-1.47,60.1,-2.09,21.5,-1.76,38.5,-2.08,69.7,-1.91,24.6,-1.79,45.1,-2.07
1997,2769,-41.8,1354,-31,1415,-27.9,67,-1.37,22.8,-1.23,44.3,-1.45,63.6,-2.01,21.4,-1.71,42.2,-2.06,70.3,-1.87,24.1,-1.75,46.2,-2.04
1998,2810,-43.9,1452,-31,1358,-31,65.6,-1.38,24.4,-1.25,41.3,-1.43,62.4,-1.96,24.4,-1.73,38,-1.96,69.1,-1.93,24.3,-1.79,44.8,-2.08
1999,2897,-41.5,1474,-29.9,1423,-28.8,62.9,-1.38,21,-1.16,41.9,-1.41,61.4,-1.95,21,-1.63,40.5,-1.97,64.4,-1.95,21.1,-1.66,43.3,-2.02
2000,2756,-45.3,1251,-33.6,1505,-29.7,63.3,-1.41,21.4,-1.2,41.9,-1.45,59.9,-2.13,23.1,-1.83,36.8,-2.1,66.2,-1.88,20,-1.59,46.2,-1.98
2001,2549,-44.1,1277,-32,1273,-30.3,61.8,-1.41,19.6,-1.15,42.1,-1.43,60.1,-2,18.6,-1.59,41.4,-2.01,63.5,-1.97,20.6,-1.66,42.8,-2.02
2002,2796,-42.7,1412,-31.3,1384,-29,65.2,-1.31,21.6,-1.14,43.6,-1.37,62.1,-1.88,20.4,-1.57,41.7,-1.92,68.4,-1.82,22.8,-1.65,45.6,-1.95
2003,2677,-42.2,1306,-29.9,1372,-29.7,63.9,-1.35,21.5,-1.16,42.5,-1.39,61.2,-1.97,21.9,-1.67,39.3,-1.97,66.5,-1.86,21,-1.61,45.5,-1.96
2004,2752,-40,1327,-29.1,1425,-27.3,66.7,-1.31,22.4,-1.16,44.2,-1.38,61.4,-1.95,21.8,-1.65,39.6,-1.96,71.5,-1.74,23.1,-1.63,48.5,-1.93
2005,2675,-40.8,1262,-31.5,1414,-24.9,68.6,-1.31,24,-1.21,44.6,-1.4,66.5,-1.94,24.7,-1.77,41.8,-2.03,70.4,-1.77,23.4,-1.64,47,-1.94
2006,2692,-44.6,1328,-32.7,1363,-30.1,66,-1.33,24.7,-1.21,41.3,-1.39,65.8,-1.9,24.9,-1.73,40.9,-1.97,66.1,-1.87,24.5,-1.7,41.7,-1.95
2007,2955,-42.6,1511,-30,1444,-30.3,67.2,-1.26,24.1,-1.15,43.1,-1.33,66.1,-1.78,22.7,-1.57,43.4,-1.86,68.3,-1.79,25.5,-1.67,42.8,-1.9
2008,3151,-42.8,1640,-29.6,1511,-30.9,68.6,-1.21,27.7,-1.16,40.9,-1.28,65.9,-1.71,24.9,-1.56,41,-1.77,71.6,-1.69,30.6,-1.73,40.9,-1.85
2009,2937,-45,1407,-32.8,1531,-30.6,70.1,-1.23,27.7,-1.21,42.4,-1.33,66,-1.84,25.1,-1.69,40.9,-1.91,73.8,-1.64,30.1,-1.71,43.8,-1.85
2010,3160,-91.8,1679,-64.6,1482,-58.4,68.1,-1.49,26.7,-1.52,41.4,-1.61,62.8,-1.88,28.5,-2.03,34.3,-1.97,74,-2.31,24.6,-2.32,49.5,-2.59
2011,3079,-88.3,1611,-60.6,1468,-58.4,68.2,-1.45,25.9,-1.49,42.3,-1.44,64.7,-2.16,24.7,-1.79,40,-2.1,72.2,-1.98,27.3,-2.17,44.9,-2.37
2012,3203,-96.2,1622,-70.1,1581,-54,66.2,-1.59,28.8,-1.57,37.5,-1.6,61.3,-2.17,26.9,-2.2,34.4,-2.15,71.3,-2.11,30.7,-2.09,40.6,-2.21
2013,2977,-84.4,1524,-62.9,1453,-57,65.9,-1.58,23.8,-1.44,42.1,-1.76,63.5,-2.2,24.5,-2.14,39,-2.48,68.4,-2.17,23,-2.15,45.3,-2.21
2014,2868,-78.5,1423,-58.1,1445,-57.5,68.4,-1.67,24.6,-1.56,43.7,-1.81,64,-2.32,21.2,-2.07,42.8,-2.69,72.6,-2.5,28,-2.35,44.6,-2.57
2015,2965,-87.5,1448,-64.6,1516,-56.6,69.2,-1.54,25.2,-1.48,44,-1.61,65.8,-2.27,24.3,-2,41.5,-2.27,72.5,-2.18,26.2,-2.08,46.4,-2.42
2016,3137,-102.3,1517,-70.6,1620,-66.7,69.8,-1.64,23.7,-1.56,46,-1.85,67.5,-2.12,25.3,-2.26,42.2,-2.47,71.9,-2.4,22.3,-1.99,49.6,-2.46
2017,2870,-95.9,1345,-60.2,1525,-71.3,66.7,-1.68,22.6,-1.5,44.2,-1.83,61.1,-2.57,23.9,-2.36,37.2,-2.32,71.7,-2.29,21.4,-2.09,50.3,-2.7
2018,3212,-94.6,1614,-61.2,1598,-69.9,69.1,-1.62,25.5,-1.54,43.6,-1.76,66.9,-2.22,24.9,-1.92,42,-2.23,71.4,-2.32,26.1,-2.19,45.2,-2.75
2019,3178,-113.2,1486,-73.8,1693,-74.7,66.2,-1.8,21.8,-1.46,44.4,-1.67,62,-2.4,22.8,-1.95,39.2,-2.37,69.8,-2.23,20.9,-1.97,48.9,-2.5
2020,3118,-106.3,1581,-76.4,1537,-72.5,62.7,-1.76,19.9,-1.71,42.8,-1.86,59.3,-2.45,19.2,-2.12,40.1,-2.6,66.2,-2.48,20.6,-2.37,45.6,-2.57
2021,2731,-98.1,1444,-75.9,1287,-67,61.8,-1.86,18.5,-1.5,43.3,-2.1,54.9,-2.59,18.8,-2.19,36.1,-2.66,69.5,-2.57,18.2,-2.1,51.3,-3.13
